date,open,high,low,close
2005-01-03 09:30:00,85.3983,85.5388,85.3351,85.3702
2005-01-03 10:00:00,85.3772,85.4545,84.9206,84.9908
2005-01-03 10:30:00,84.9908,85.1454,84.7941,84.8925
2005-01-03 11:00:00,84.8925,84.8925,84.6466,84.8011
2005-01-03 11:30:00,84.8011,85.3983,84.7801,84.8854
2005-01-03 12:00:00,84.8854,84.8925,84.7098,84.7379
2005-01-03 12:30:00,84.7449,85.3702,84.7028,84.7871
2005-01-03 13:00:00,84.7801,84.7871,84.485,84.5272
2005-01-03 13:30:00,84.5342,84.6325,84.5061,84.5272
2005-01-03 14:00:00,84.5342,84.6396,84.5131,84.5342
2005-01-03 14:30:00,84.5342,84.6958,84.471,84.4991
2005-01-03 15:00:00,84.492,84.5904,84.3656,84.4077
2005-01-03 15:30:00,84.4077,84.4288,84.2321,84.3445
2005-01-04 09:30:00,84.6255,84.6536,84.4499,84.4499
2005-01-04 10:00:00,84.4569,84.6817,84.2883,84.3726
2005-01-04 10:30:00,84.3726,84.4077,84.211,84.2743
2005-01-04 11:00:00,84.2813,84.3445,84.1548,84.3024
2005-01-04 11:30:00,84.3024,84.3726,84.2321,84.2532
2005-01-04 12:00:00,84.2532,84.2813,83.9581,84.0424
2005-01-04 12:30:00,84.0494,84.1689,83.9862,83.9862
2005-01-04 13:00:00,83.9862,84.1548,83.9722,84.0565
2005-01-04 13:30:00,84.0635,84.0916,83.9581,84.0073
2005-01-04 14:00:00,84.0003,84.0003,83.4312,83.5155
2005-01-04 14:30:00,83.5226,83.5577,83.2064,83.4804
2005-01-04 15:00:00,83.4874,83.5507,83.3399,83.4242
2005-01-04 15:30:00,83.4242,83.5788,83.3891,83.4172
2005-01-05 09:30:00,83.4172,83.6982,83.4172,83.5366
2005-01-05 10:00:00,83.5436,83.7614,83.5085,83.5085
2005-01-05 10:30:00,83.5085,83.6701,83.3469,83.3891
2005-01-05 11:00:00,83.3961,83.635,83.3329,83.3961
2005-01-05 11:30:00,83.3821,83.7122,83.368,83.4804
2005-01-05 12:00:00,83.4804,83.5155,83.3188,83.3821
2005-01-05 12:30:00,83.3821,83.4523,83.1924,83.4242
